Descripcion,Precio,Habitaciones,Metros,Planta
"Piso en avenida Salamanca, Ensanche-Diputación, Alicante / Alacant",139900,4 hab.,105 m²,5ª planta exterior con ascensor
"Ático en Centro Tradicional, Alicante / Alacant",545000,3 hab.,145 m²,7ª planta exterior con ascensor
"Piso en Ensanche-Diputación, Alicante / Alacant",183000,3 hab.,93 m²,NA
"Piso en Navas, Centro Tradicional, Alicante / Alacant",190000,4 hab.,152 m²,7ª planta exterior con ascensor
"Chalet pareado en calle Muchamiel, 15, Casco Histórico-Santa Cruz, Alicante / Alacant",148500,2 hab.,50 m²,NA
"Piso en calle Maestro Gaztambide, 4, Mercado, Alicante / Alacant",248400,4 hab.,112 m²,5ª planta exterior con ascensor
"Piso en calle Eusebio Sempere, Ensanche-Diputación, Alicante / Alacant",179900,3 hab.,114 m²,4ª planta interior con ascensor
"Piso en Mercado, Alicante / Alacant",159900,2 hab.,60 m²,2ª planta exterior con ascensor
"Piso en calle José Gutiérrez Petén, Mercado, Alicante / Alacant",240000,3 hab.,121 m²,2ª planta exterior con ascensor
"Piso en calle Italia, Ensanche-Diputación, Alicante / Alacant",276000,4 hab.,181 m²,1ª planta interior con ascensor
"Piso en calle Bazan, 20, Centro Tradicional, Alicante / Alacant",195000,2 hab.,70 m²,6ª planta exterior con ascensor
"Piso en calle Jerusalem, Centro Tradicional, Alicante / Alacant",215000,2 hab.,80 m²,1ª planta exterior con ascensor
"Piso en navas, Centro Tradicional, Alicante / Alacant",360000,2 hab.,145 m²,3ª planta exterior con ascensor
"Ático en plaza de Calvo Sotelo, 4, Centro Tradicional, Alicante / Alacant",1200000,4 hab.,200 m²,8ª planta exterior con ascensor
"Piso en bailén, 15, Centro Tradicional, Alicante / Alacant",795000,4 hab.,280 m²,2ª planta exterior con ascensor
"Piso en Explanada de España, 8, Casco Histórico-Santa Cruz, Alicante / Alacant",595000,4 hab.,180 m²,2ª planta exterior con ascensor
"Chalet pareado en san antonio, 35, Casco Histórico-Santa Cruz, Alicante / Alacant",595000,3 hab.,123 m²,NA
"Piso en Explanada de España, Alicante, 16, Centro Tradicional, Alicante / Alacant",1180000,4 hab.,230 m²,5ª planta exterior con ascensor
"Piso en avenida Alfonso El Sabio, Mercado, Alicante / Alacant",300000,2 hab.,90 m²,2ª planta exterior con ascensor
"Piso en calle Calderón de la Barca, Mercado, Alicante / Alacant",280000,4 hab.,135 m²,1ª planta exterior con ascensor
"Piso en calle Navas, Centro Tradicional, Alicante / Alacant",199500,2 hab.,75 m²,2ª planta exterior con ascensor
"Dúplex en calle de Los Artilleros, Centro Tradicional, Alicante / Alacant",690000,6 hab.,421 m²,7ª planta exterior con ascensor
"Ático en calle Duque de Zaragoza, 4, Centro Tradicional, Alicante / Alacant",450000,3 hab.,126 m²,11ª planta exterior con ascensor
"Piso en calle Segura, Mercado, Alicante / Alacant",145000,2 hab.,115 m²,1ª planta exterior sin ascensor
"Piso en avenida Federico Soto, Centro Tradicional, Alicante / Alacant",250000,2 hab.,87 m²,5ª planta exterior con ascensor
"Ático en luceros, s/n, Centro Tradicional, Alicante / Alacant",795000,4 hab.,333 m²,7ª planta exterior con ascensor
"Piso en calle Paris, Ensanche-Diputación, Alicante / Alacant",350000,2 hab.,75 m²,2ª planta exterior con ascensor
"Piso en plaza de los Luceros, 5, Ensanche-Diputación, Alicante / Alacant",650000,4 hab.,222 m²,6ª planta exterior con ascensor
"Piso en calle del Capitán Segarra, Mercado, Alicante / Alacant",295000,3 hab.,108 m²,4ª planta exterior con ascensor
"Piso en Mercado, Alicante / Alacant",159990,2 hab.,60 m²,2ª planta exterior con ascensor
